"ArbstedKomm","Tid","sysselsatte"
"3101","2000",0
"3101","2001",0
"3101","2002",0
"3101","2003",0
"3101","2004",0
"3101","2005",0
"3101","2006",0
"3101","2007",0
"3101","2008",0
"3101","2009",0
"3101","2010",0
"3101","2011",0
"3101","2012",0
"3101","2013",0
"3101","2014",0
"3101","2015",0
"3101","2016",0
"3101","2017",0
"3101","2018",0
"3101","2019",0
"3101","2020",0
"3101","2021",0
"3101","2022",0
"3101","2023",0
"3101","2024",12995
"3103","2000",0
"3103","2001",0
"3103","2002",0
"3103","2003",0
"3103","2004",0
"3103","2005",0
"3103","2006",0
"3103","2007",0
"3103","2008",0
"3103","2009",0
"3103","2010",0
"3103","2011",0
"3103","2012",0
"3103","2013",0
"3103","2014",0
"3103","2015",0
"3103","2016",0
"3103","2017",0
"3103","2018",0
"3103","2019",0
"3103","2020",0
"3103","2021",0
"3103","2022",0
"3103","2023",0
"3103","2024",22034
"3105","2000",0
"3105","2001",0
"3105","2002",0
"3105","2003",0
"3105","2004",0
"3105","2005",0
"3105","2006",0
"3105","2007",0
"3105","2008",0
"3105","2009",0
"3105","2010",0
"3105","2011",0
"3105","2012",0
"3105","2013",0
"3105","2014",0
"3105","2015",0
"3105","2016",0
"3105","2017",0
"3105","2018",0
"3105","2019",0
"3105","2020",0
"3105","2021",0
"3105","2022",0
"3105","2023",0
"3105","2024",29229
"3107","2000",0
"3107","2001",0
"3107","2002",0
"3107","2003",0
"3107","2004",0
"3107","2005",0
"3107","2006",0
"3107","2007",0
"3107","2008",0
"3107","2009",0
"3107","2010",0
"3107","2011",0
"3107","2012",0
"3107","2013",0
"3107","2014",0
"3107","2015",0
"3107","2016",0
"3107","2017",0
"3107","2018",0
"3107","2019",0
"3107","2020",0
"3107","2021",0
"3107","2022",0
"3107","2023",0
"3107","2024",34816
"3110","2000",0
"3110","2001",0
"3110","2002",0
"3110","2003",0
"3110","2004",0
"3110","2005",0
"3110","2006",0
"3110","2007",0
"3110","2008",0
"3110","2009",0
"3110","2010",0
"3110","2011",0
"3110","2012",0
"3110","2013",0
"3110","2014",0
"3110","2015",0
"3110","2016",0
"3110","2017",0
"3110","2018",0
"3110","2019",0
"3110","2020",0
"3110","2021",0
"3110","2022",0
"3110","2023",0
"3110","2024",1268
"3112","2000",0
"3112","2001",0
"3112","2002",0
"3112","2003",0
"3112","2004",0
"3112","2005",0
"3112","2006",0
"3112","2007",0
"3112","2008",0
"3112","2009",0
"3112","2010",0
"3112","2011",0
"3112","2012",0
"3112","2013",0
"3112","2014",0
"3112","2015",0
"3112","2016",0
"3112","2017",0
"3112","2018",0
"3112","2019",0
"3112","2020",0
"3112","2021",0
"3112","2022",0
"3112","2023",0
"3112","2024",3942
"3114","2000",0
"3114","2001",0
"3114","2002",0
"3114","2003",0
"3114","2004",0
"3114","2005",0
"3114","2006",0
"3114","2007",0
"3114","2008",0
"3114","2009",0
"3114","2010",0
"3114","2011",0
"3114","2012",0
"3114","2013",0
"3114","2014",0
"3114","2015",0
"3114","2016",0
"3114","2017",0
"3114","2018",0
"3114","2019",0
"3114","2020",0
"3114","2021",0
"3114","2022",0
"3114","2023",0
"3114","2024",1545
"3116","2000",0
"3116","2001",0
"3116","2002",0
"3116","2003",0
"3116","2004",0
"3116","2005",0
"3116","2006",0
"3116","2007",0
"3116","2008",0
"3116","2009",0
"3116","2010",0
"3116","2011",0
"3116","2012",0
"3116","2013",0
"3116","2014",0
"3116","2015",0
"3116","2016",0
"3116","2017",0
"3116","2018",0
"3116","2019",0
"3116","2020",0
"3116","2021",0
"3116","2022",0
"3116","2023",0
"3116","2024",915
"3118","2000",0
"3118","2001",0
"3118","2002",0
"3118","2003",0
"3118","2004",0
"3118","2005",0
"3118","2006",0
"3118","2007",0
"3118","2008",0
"3118","2009",0
"3118","2010",0
"3118","2011",0
"3118","2012",0
"3118","2013",0
"3118","2014",0
"3118","2015",0
"3118","2016",0
"3118","2017",0
"3118","2018",0
"3118","2019",0
"3118","2020",0
"3118","2021",0
"3118","2022",0
"3118","2023",0
"3118","2024",16107
"3120","2000",0
"3120","2001",0
"3120","2002",0
"3120","2003",0
"3120","2004",0
"3120","2005",0
"3120","2006",0
"3120","2007",0
"3120","2008",0
"3120","2009",0
"3120","2010",0
"3120","2011",0
"3120","2012",0
"3120","2013",0
"3120","2014",0
"3120","2015",0
"3120","2016",0
"3120","2017",0
"3120","2018",0
"3120","2019",0
"3120","2020",0
"3120","2021",0
"3120","2022",0
"3120","2023",0
"3120","2024",3194
"3122","2000",0
"3122","2001",0
"3122","2002",0
"3122","2003",0
"3122","2004",0
"3122","2005",0
"3122","2006",0
"3122","2007",0
"3122","2008",0
"3122","2009",0
"3122","2010",0
"3122","2011",0
"3122","2012",0
"3122","2013",0
"3122","2014",0
"3122","2015",0
"3122","2016",0
"3122","2017",0
"3122","2018",0
"3122","2019",0
"3122","2020",0
"3122","2021",0
"3122","2022",0
"3122","2023",0
"3122","2024",1242
"3124","2000",0
"3124","2001",0
"3124","2002",0
"3124","2003",0
"3124","2004",0
"3124","2005",0
"3124","2006",0
"3124","2007",0
"3124","2008",0
"3124","2009",0
"3124","2010",0
"3124","2011",0
"3124","2012",0
"3124","2013",0
"3124","2014",0
"3124","2015",0
"3124","2016",0
"3124","2017",0
"3124","2018",0
"3124","2019",0
"3124","2020",0
"3124","2021",0
"3124","2022",0
"3124","2023",0
"3124","2024",332
"3201","2000",0
"3201","2001",0
"3201","2002",0
"3201","2003",0
"3201","2004",0
"3201","2005",0
"3201","2006",0
"3201","2007",0
"3201","2008",0
"3201","2009",0
"3201","2010",0
"3201","2011",0
"3201","2012",0
"3201","2013",0
"3201","2014",0
"3201","2015",0
"3201","2016",0
"3201","2017",0
"3201","2018",0
"3201","2019",0
"3201","2020",0
"3201","2021",0
"3201","2022",0
"3201","2023",0
"3201","2024",77397
"3203","2000",0
"3203","2001",0
"3203","2002",0
"3203","2003",0
"3203","2004",0
"3203","2005",0
"3203","2006",0
"3203","2007",0
"3203","2008",0
"3203","2009",0
"3203","2010",0
"3203","2011",0
"3203","2012",0
"3203","2013",0
"3203","2014",0
"3203","2015",0
"3203","2016",0
"3203","2017",0
"3203","2018",0
"3203","2019",0
"3203","2020",0
"3203","2021",0
"3203","2022",0
"3203","2023",0
"3203","2024",38572
"3205","2000",0
"3205","2001",0
"3205","2002",0
"3205","2003",0
"3205","2004",0
"3205","2005",0
"3205","2006",0
"3205","2007",0
"3205","2008",0
"3205","2009",0
"3205","2010",0
"3205","2011",0
"3205","2012",0
"3205","2013",0
"3205","2014",0
"3205","2015",0
"3205","2016",0
"3205","2017",0
"3205","2018",0
"3205","2019",0
"3205","2020",0
"3205","2021",0
"3205","2022",0
"3205","2023",0
"3205","2024",43794
"3207","2000",0
"3207","2001",0
"3207","2002",0
"3207","2003",0
"3207","2004",0
"3207","2005",0
"3207","2006",0
"3207","2007",0
"3207","2008",0
"3207","2009",0
"3207","2010",0
"3207","2011",0
"3207","2012",0
"3207","2013",0
"3207","2014",0
"3207","2015",0
"3207","2016",0
"3207","2017",0
"3207","2018",0
"3207","2019",0
"3207","2020",0
"3207","2021",0
"3207","2022",0
"3207","2023",0
"3207","2024",25390
"3209","2000",0
"3209","2001",0
"3209","2002",0
"3209","2003",0
"3209","2004",0
"3209","2005",0
"3209","2006",0
"3209","2007",0
"3209","2008",0
"3209","2009",0
"3209","2010",0
"3209","2011",0
"3209","2012",0
"3209","2013",0
"3209","2014",0
"3209","2015",0
"3209","2016",0
"3209","2017",0
"3209","2018",0
"3209","2019",0
"3209","2020",0
"3209","2021",0
"3209","2022",0
"3209","2023",0
"3209","2024",29440
"3212","2000",0
"3212","2001",0
"3212","2002",0
"3212","2003",0
"3212","2004",0
"3212","2005",0
"3212","2006",0
"3212","2007",0
"3212","2008",0
"3212","2009",0
"3212","2010",0
"3212","2011",0
"3212","2012",0
"3212","2013",0
"3212","2014",0
"3212","2015",0
"3212","2016",0
"3212","2017",0
"3212","2018",0
"3212","2019",0
"3212","2020",0
"3212","2021",0
"3212","2022",0
"3212","2023",0
"3212","2024",5546
"3214","2000",0
"3214","2001",0
"3214","2002",0
"3214","2003",0
"3214","2004",0
"3214","2005",0
"3214","2006",0
"3214","2007",0
"3214","2008",0
"3214","2009",0
"3214","2010",0
"3214","2011",0
"3214","2012",0
"3214","2013",0
"3214","2014",0
"3214","2015",0
"3214","2016",0
"3214","2017",0
"3214","2018",0
"3214","2019",0
"3214","2020",0
"3214","2021",0
"3214","2022",0
"3214","2023",0
"3214","2024",4913
"3216","2000",0
"3216","2001",0
"3216","2002",0
"3216","2003",0
"3216","2004",0
"3216","2005",0
"3216","2006",0
"3216","2007",0
"3216","2008",0
"3216","2009",0
"3216","2010",0
"3216","2011",0
"3216","2012",0
"3216","2013",0
"3216","2014",0
"3216","2015",0
"3216","2016",0
"3216","2017",0
"3216","2018",0
"3216","2019",0
"3216","2020",0
"3216","2021",0
"3216","2022",0
"3216","2023",0
"3216","2024",9804
"3218","2000",0
"3218","2001",0
"3218","2002",0
"3218","2003",0
"3218","2004",0
"3218","2005",0
"3218","2006",0
"3218","2007",0
"3218","2008",0
"3218","2009",0
"3218","2010",0
"3218","2011",0
"3218","2012",0
"3218","2013",0
"3218","2014",0
"3218","2015",0
"3218","2016",0
"3218","2017",0
"3218","2018",0
"3218","2019",0
"3218","2020",0
"3218","2021",0
"3218","2022",0
"3218","2023",0
"3218","2024",12115
"3220","2000",0
"3220","2001",0
"3220","2002",0
"3220","2003",0
"3220","2004",0
"3220","2005",0
"3220","2006",0
"3220","2007",0
"3220","2008",0
"3220","2009",0
"3220","2010",0
"3220","2011",0
"3220","2012",0
"3220","2013",0
"3220","2014",0
"3220","2015",0
"3220","2016",0
"3220","2017",0
"3220","2018",0
"3220","2019",0
"3220","2020",0
"3220","2021",0
"3220","2022",0
"3220","2023",0
"3220","2024",3224
"3222","2000",0
"3222","2001",0
"3222","2002",0
"3222","2003",0
"3222","2004",0
"3222","2005",0
"3222","2006",0
"3222","2007",0
"3222","2008",0
"3222","2009",0
"3222","2010",0
"3222","2011",0
"3222","2012",0
"3222","2013",0
"3222","2014",0
"3222","2015",0
"3222","2016",0
"3222","2017",0
"3222","2018",0
"3222","2019",0
"3222","2020",0
"3222","2021",0
"3222","2022",0
"3222","2023",0
"3222","2024",25078
"3224","2000",0
"3224","2001",0
"3224","2002",0
"3224","2003",0
"3224","2004",0
"3224","2005",0
"3224","2006",0
"3224","2007",0
"3224","2008",0
"3224","2009",0
"3224","2010",0
"3224","2011",0
"3224","2012",0
"3224","2013",0
"3224","2014",0
"3224","2015",0
"3224","2016",0
"3224","2017",0
"3224","2018",0
"3224","2019",0
"3224","2020",0
"3224","2021",0
"3224","2022",0
"3224","2023",0
"3224","2024",3227
"3226","2000",0
"3226","2001",0
"3226","2002",0
"3226","2003",0
"3226","2004",0
"3226","2005",0
"3226","2006",0
"3226","2007",0
"3226","2008",0
"3226","2009",0
"3226","2010",0
"3226","2011",0
"3226","2012",0
"3226","2013",0
"3226","2014",0
"3226","2015",0
"3226","2016",0
"3226","2017",0
"3226","2018",0
"3226","2019",0
"3226","2020",0
"3226","2021",0
"3226","2022",0
"3226","2023",0
"3226","2024",5660
"3228","2000",0
"3228","2001",0
"3228","2002",0
"3228","2003",0
"3228","2004",0
"3228","2005",0
"3228","2006",0
"3228","2007",0
"3228","2008",0
"3228","2009",0
"3228","2010",0
"3228","2011",0
"3228","2012",0
"3228","2013",0
"3228","2014",0
"3228","2015",0
"3228","2016",0
"3228","2017",0
"3228","2018",0
"3228","2019",0
"3228","2020",0
"3228","2021",0
"3228","2022",0
"3228","2023",0
"3228","2024",6245
"3230","2000",0
"3230","2001",0
"3230","2002",0
"3230","2003",0
"3230","2004",0
"3230","2005",0
"3230","2006",0
"3230","2007",0
"3230","2008",0
"3230","2009",0
"3230","2010",0
"3230","2011",0
"3230","2012",0
"3230","2013",0
"3230","2014",0
"3230","2015",0
"3230","2016",0
"3230","2017",0
"3230","2018",0
"3230","2019",0
"3230","2020",0
"3230","2021",0
"3230","2022",0
"3230","2023",0
"3230","2024",1796
"3232","2000",0
"3232","2001",0
"3232","2002",0
"3232","2003",0
"3232","2004",0
"3232","2005",0
"3232","2006",0
"3232","2007",0
"3232","2008",0
"3232","2009",0
"3232","2010",0
"3232","2011",0
"3232","2012",0
"3232","2013",0
"3232","2014",0
"3232","2015",0
"3232","2016",0
"3232","2017",0
"3232","2018",0
"3232","2019",0
"3232","2020",0
"3232","2021",0
"3232","2022",0
"3232","2023",0
"3232","2024",8664
"3234","2000",0
"3234","2001",0
"3234","2002",0
"3234","2003",0
"3234","2004",0
"3234","2005",0
"3234","2006",0
"3234","2007",0
"3234","2008",0
"3234","2009",0
"3234","2010",0
"3234","2011",0
"3234","2012",0
"3234","2013",0
"3234","2014",0
"3234","2015",0
"3234","2016",0
"3234","2017",0
"3234","2018",0
"3234","2019",0
"3234","2020",0
"3234","2021",0
